"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","Public sector","Euro","27.71"
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","All sectors","Euro","20.9"
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Private sector","Euro","18.71"
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Public sector","Euro","27.78"
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","All sectors","Euro","20.99"
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Private sector","Euro","18.61"
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Public sector","Euro","27.61"
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","All sectors","Euro","20.82"
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Private sector","Euro","18.75"
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Public sector","Euro","27.83"
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","All sectors","Euro","20.85"
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Private sector","Euro","18.72"
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Public sector","Euro","27.79"
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","All sectors","Euro","20.88"
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Private sector","Euro","18.89"
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Public sector","Euro","27.96"
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","All sectors","Euro","21.03"
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Private sector","Euro","18.75"
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Public sector","Euro","26.97"
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","All sectors","Euro","20.67"
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Private sector","Euro","18.87"
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Public sector","Euro","27.1"
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","All sectors","Euro","20.8"
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Private sector","Euro","18.94"
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Public sector","Euro","27.18"
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","All sectors","Euro","20.89"
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Private sector","Euro","18.79"
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Public sector","Euro","27.19"
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","All sectors","Euro","20.75"
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Private sector","Euro","18.4"
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Public sector","Euro","26.98"
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","All sectors","Euro","20.36"
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Private sector","Euro","18.94"
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Public sector","Euro","27.13"
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","All sectors","Euro","20.79"
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Private sector","Euro","18.91"
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Public sector","Euro","27.06"
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","All sectors","Euro","20.81"
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Private sector","Euro","19.03"
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Public sector","Euro","26.97"
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","All sectors","Euro","20.87"
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Private sector","Euro","18.87"
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Public sector","Euro","26.87"
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","All sectors","Euro","20.68"
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Private sector","Euro","18.93"
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Public sector","Euro","27.09"
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","All sectors","Euro","20.76"
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Private sector","Euro","19.15"
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Public sector","Euro","27.03"
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","All sectors","Euro","20.91"
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Private sector","Euro","19.21"
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Public sector","Euro","26.91"
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","All sectors","Euro","20.91"
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Private sector","Euro","19.01"
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Public sector","Euro","26.93"
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","All sectors","Euro","20.71"
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Private sector","Euro","19.32"
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Public sector","Euro","27.08"
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","All sectors","Euro","21.01"
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Private sector","Euro","19.37"
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Public sector","Euro","27.16"
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","All sectors","Euro","21.08"
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Private sector","Euro","19.38"
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Public sector","Euro","27.51"
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","All sectors","Euro","21.18"
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Private sector","Euro","19.45"
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Public sector","Euro","27.72"
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","All sectors","Euro","21.25"
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Private sector","Euro","19.61"
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Public sector","Euro","27.75"
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","All sectors","Euro","21.4"
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Private sector","Euro","19.8"
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Public sector","Euro","28.06"
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","All sectors","Euro","21.66"
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Private sector","Euro","19.86"
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Public sector","Euro","28.11"
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","All sectors","Euro","21.69"
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Private sector","Euro","19.78"
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Public sector","Euro","28.31"
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","All sectors","Euro","21.64"
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Private sector","Euro","20.17"
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Public sector","Euro","28.41"
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","All sectors","Euro","22.01"
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Private sector","Euro","20.39"
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Public sector","Euro","28.35"
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","All sectors","Euro","22.2"
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Private sector","Euro","20.6"
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Public sector","Euro","28.42"
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","All sectors","Euro","22.38"
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Private sector","Euro","20.67"
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Public sector","Euro","28.68"
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","All sectors","Euro","22.49"
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Private sector","Euro","21.03"
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Public sector","Euro","29.25"
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","All sectors","Euro","22.9"
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Private sector","Euro","21.03"
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Public sector","Euro","29.28"
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","All sectors","Euro","22.87"
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Private sector","Euro","21.99"
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Public sector","Euro","29.79"
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","All sectors","Euro","23.97"
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Private sector","Euro","21.36"
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Public sector","Euro","29.37"
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","All sectors","Euro","23.3"
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Private sector","Euro","22.22"
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Public sector","Euro","30.07"
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","All sectors","Euro","24.07"
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Private sector","Euro","22.59"
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Public sector","Euro","30.66"
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","All sectors","Euro","24.6"
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Private sector","Euro","22.71"
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Public sector","Euro","30.58"
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","All sectors","Euro","24.66"
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Private sector","Euro","22.13"
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Public sector","Euro","30.89"
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","All sectors","Euro","24.15"
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Private sector","Euro","22.82"
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Public sector","Euro","30.91"
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","All sectors","Euro","24.68"
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Private sector","Euro","23.2"
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Public sector","Euro","30.78"
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","All sectors","Euro","25.02"
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Private sector","Euro","23.35"
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Public sector","Euro","31.03"
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","All sectors","Euro","25.1"
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Private sector","Euro","23.16"
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Public sector","Euro","30.97"
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","All sectors","Euro","24.93"
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Private sector","Euro","23.9"
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Public sector","Euro","32.62"
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","All sectors","Euro","25.88"
"Average Hourly Earnings excluding Irregular Earnings","2023Q1","Private sector","Euro","24.13"
"Average Hourly Earnings excluding Irregular Earnings","2023Q1","Public sector","Euro","32.22"
"Average Hourly Earnings excluding Irregular Earnings","2023Q1","All sectors","Euro","26"
"Average Hourly Earnings excluding Irregular Earnings","2023Q2","Private sector","Euro","24.44"
"Average Hourly Earnings excluding Irregular Earnings","2023Q2","Public sector","Euro","33.43"
"Average Hourly Earnings excluding Irregular Earnings","2023Q2","All sectors","Euro","26.48"
"Average Hourly Earnings excluding Irregular Earnings","2023Q3","Private sector","Euro","24.52"
"Average Hourly Earnings excluding Irregular Earnings","2023Q3","Public sector","Euro","33.43"
"Average Hourly Earnings excluding Irregular Earnings","2023Q3","All sectors","Euro","26.55"
"Average Hourly Earnings excluding Irregular Earnings","2023Q4","Private sector","Euro","24.81"
"Average Hourly Earnings excluding Irregular Earnings","2023Q4","Public sector","Euro","33.93"
"Average Hourly Earnings excluding Irregular Earnings","2023Q4","All sectors","Euro","26.88"
"Average Hourly Earnings excluding Irregular Earnings","2024Q1","Private sector","Euro","25.3"
"Average Hourly Earnings excluding Irregular Earnings","2024Q1","Public sector","Euro","34"
"Average Hourly Earnings excluding Irregular Earnings","2024Q1","All sectors","Euro","27.32"
"Average Hourly Earnings excluding Irregular Earnings","2024Q2","Private sector","Euro","25.7"
"Average Hourly Earnings excluding Irregular Earnings","2024Q2","Public sector","Euro","34.99"
"Average Hourly Earnings excluding Irregular Earnings","2024Q2","All sectors","Euro","27.84"
"Average Hourly Earnings excluding Irregular Earnings","2024Q3","Private sector","Euro","25.67"
"Average Hourly Earnings excluding Irregular Earnings","2024Q3","Public sector","Euro","34.87"
"Average Hourly Earnings excluding Irregular Earnings","2024Q3","All sectors","Euro","27.84"
"Average Hourly Earnings excluding Irregular Earnings","2024Q4","Private sector","Euro","26.19"
"Average Hourly Earnings excluding Irregular Earnings","2024Q4","Public sector","Euro","35.81"
"Average Hourly Earnings excluding Irregular Earnings","2024Q4","All sectors","Euro","28.48"
"Average Hourly Earnings excluding Irregular Earnings","2025Q1","Private sector","Euro","26.63"
"Average Hourly Earnings excluding Irregular Earnings","2025Q1","Public sector","Euro","36.13"
"Average Hourly Earnings excluding Irregular Earnings","2025Q1","All sectors","Euro","28.89"
"Average Hourly Earnings excluding Irregular Earnings","2025Q2","Private sector","Euro","26.66"
"Average Hourly Earnings excluding Irregular Earnings","2025Q2","Public sector","Euro","36.67"
"Average Hourly Earnings excluding Irregular Earnings","2025Q2","All sectors","Euro","28.97"
"Average Hourly Earnings excluding Irregular Earnings","2025Q3","Private sector","Euro","26.55"
"Average Hourly Earnings excluding Irregular Earnings","2025Q3","Public sector","Euro","37.12"
"Average Hourly Earnings excluding Irregular Earnings","2025Q3","All sectors","Euro","29"
"Average Hourly Earnings excluding Irregular Earnings","2025Q4","Private sector","Euro","27.02"
"Average Hourly Earnings excluding Irregular Earnings","2025Q4","Public sector","Euro","37.46"
"Average Hourly Earnings excluding Irregular Earnings","2025Q4","All sectors","Euro","29.52"
"Average Hourly Earnings excluding Irregular Earnings","2026Q1","Private sector","Euro","27.77"
"Average Hourly Earnings excluding Irregular Earnings","2026Q1","Public sector","Euro","37.82"
"Average Hourly Earnings excluding Irregular Earnings","2026Q1","All sectors","Euro","30.3"
"Average Weekly Paid Hours","2008Q1","Private sector","Hours","33"
"Average Weekly Paid Hours","2008Q1","Public sector","Hours","31.6"
"Average Weekly Paid Hours","2008Q1","All sectors","Hours","32.7"
"Average Weekly Paid Hours","2008Q2","Private sector","Hours","33.1"
"Average Weekly Paid Hours","2008Q2","Public sector","Hours","31.9"
"Average Weekly Paid Hours","2008Q2","All sectors","Hours","32.8"
"Average Weekly Paid Hours","2008Q3","Private sector","Hours","33.1"
"Average Weekly Paid Hours","2008Q3","Public sector","Hours","32"
"Average Weekly Paid Hours","2008Q3","All sectors","Hours","32.8"
"Average Weekly Paid Hours","2008Q4","Private sector","Hours","32.6"
"Average Weekly Paid Hours","2008Q4","Public sector","Hours","31.9"
"Average Weekly Paid Hours","2008Q4","All sectors","Hours","32.5"
"Average Weekly Paid Hours","2009Q1","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2009Q1","Public sector","Hours","31.2"
"Average Weekly Paid Hours","2009Q1","All sectors","Hours","31.6"
"Average Weekly Paid Hours","2009Q2","Private sector","Hours","32"
"Average Weekly Paid Hours","2009Q2","Public sector","Hours","31.4"
"Average Weekly Paid Hours","2009Q2","All sectors","Hours","31.9"
"Average Weekly Paid Hours","2009Q3","Private sector","Hours","31.9"
"Average Weekly Paid Hours","2009Q3","Public sector","Hours","31.9"
"Average Weekly Paid Hours","2009Q3","All sectors","Hours","31.9"
"Average Weekly Paid Hours","2009Q4","Private sector","Hours","32"
"Average Weekly Paid Hours","2009Q4","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2009Q4","All sectors","Hours","32.1"
"Average Weekly Paid Hours","2010Q1","Private sector","Hours","31"
"Average Weekly Paid Hours","2010Q1","Public sector","Hours","31.2"
"Average Weekly Paid Hours","2010Q1","All sectors","Hours","31"
"Average Weekly Paid Hours","2010Q2","Private sector","Hours","31.7"
"Average Weekly Paid Hours","2010Q2","Public sector","Hours","31.3"
"Average Weekly Paid Hours","2010Q2","All sectors","Hours","31.6"
"Average Weekly Paid Hours","2010Q3","Private sector","Hours","32.1"
"Average Weekly Paid Hours","2010Q3","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2010Q3","All sectors","Hours","32.2"
"Average Weekly Paid Hours","2010Q4","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2010Q4","Public sector","Hours","31.7"
"Average Weekly Paid Hours","2010Q4","All sectors","Hours","31.8"
"Average Weekly Paid Hours","2011Q1","Private sector","Hours","30.9"
"Average Weekly Paid Hours","2011Q1","Public sector","Hours","30.9"
"Average Weekly Paid Hours","2011Q1","All sectors","Hours","30.9"
"Average Weekly Paid Hours","2011Q2","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2011Q2","Public sector","Hours","30.7"
"Average Weekly Paid Hours","2011Q2","All sectors","Hours","31.4"
"Average Weekly Paid Hours","2011Q3","Private sector","Hours","32"
"Average Weekly Paid Hours","2011Q3","Public sector","Hours","31.4"
"Average Weekly Paid Hours","2011Q3","All sectors","Hours","31.8"
"Average Weekly Paid Hours","2011Q4","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2011Q4","Public sector","Hours","31.5"
"Average Weekly Paid Hours","2011Q4","All sectors","Hours","31.6"
"Average Weekly Paid Hours","2012Q1","Private sector","Hours","31.3"
"Average Weekly Paid Hours","2012Q1","Public sector","Hours","31.7"
"Average Weekly Paid Hours","2012Q1","All sectors","Hours","31.4"
"Average Weekly Paid Hours","2012Q2","Private sector","Hours","31.5"
"Average Weekly Paid Hours","2012Q2","Public sector","Hours","31.4"
"Average Weekly Paid Hours","2012Q2","All sectors","Hours","31.5"
"Average Weekly Paid Hours","2012Q3","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2012Q3","Public sector","Hours","31.6"
"Average Weekly Paid Hours","2012Q3","All sectors","Hours","31.7"
"Average Weekly Paid Hours","2012Q4","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2012Q4","Public sector","Hours","31.5"
"Average Weekly Paid Hours","2012Q4","All sectors","Hours","31.6"
"Average Weekly Paid Hours","2013Q1","Private sector","Hours","31.1"
"Average Weekly Paid Hours","2013Q1","Public sector","Hours","31.5"
"Average Weekly Paid Hours","2013Q1","All sectors","Hours","31.2"
"Average Weekly Paid Hours","2013Q2","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2013Q2","Public sector","Hours","31.5"
"Average Weekly Paid Hours","2013Q2","All sectors","Hours","31.6"
"Average Weekly Paid Hours","2013Q3","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2013Q3","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2013Q3","All sectors","Hours","31.7"
"Average Weekly Paid Hours","2013Q4","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2013Q4","Public sector","Hours","32.1"
"Average Weekly Paid Hours","2013Q4","All sectors","Hours","31.7"
"Average Weekly Paid Hours","2014Q1","Private sector","Hours","31.1"
"Average Weekly Paid Hours","2014Q1","Public sector","Hours","31.9"
"Average Weekly Paid Hours","2014Q1","All sectors","Hours","31.3"
"Average Weekly Paid Hours","2014Q2","Private sector","Hours","31.7"
"Average Weekly Paid Hours","2014Q2","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2014Q2","All sectors","Hours","31.8"
"Average Weekly Paid Hours","2014Q3","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2014Q3","Public sector","Hours","32.3"
"Average Weekly Paid Hours","2014Q3","All sectors","Hours","31.9"
"Average Weekly Paid Hours","2014Q4","Private sector","Hours","31.7"
"Average Weekly Paid Hours","2014Q4","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2014Q4","All sectors","Hours","31.8"
"Average Weekly Paid Hours","2015Q1","Private sector","Hours","31.2"
"Average Weekly Paid Hours","2015Q1","Public sector","Hours","32.1"
"Average Weekly Paid Hours","2015Q1","All sectors","Hours","31.4"
"Average Weekly Paid Hours","2015Q2","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2015Q2","Public sector","Hours","32.4"
"Average Weekly Paid Hours","2015Q2","All sectors","Hours","32"
"Average Weekly Paid Hours","2015Q3","Private sector","Hours","32.2"
"Average Weekly Paid Hours","2015Q3","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2015Q3","All sectors","Hours","32.2"
"Average Weekly Paid Hours","2015Q4","Private sector","Hours","32.4"
"Average Weekly Paid Hours","2015Q4","Public sector","Hours","32.8"
"Average Weekly Paid Hours","2015Q4","All sectors","Hours","32.5"
"Average Weekly Paid Hours","2016Q1","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2016Q1","Public sector","Hours","32.1"
"Average Weekly Paid Hours","2016Q1","All sectors","Hours","31.7"
"Average Weekly Paid Hours","2016Q2","Private sector","Hours","32.2"
"Average Weekly Paid Hours","2016Q2","Public sector","Hours","32.1"
"Average Weekly Paid Hours","2016Q2","All sectors","Hours","32.1"
"Average Weekly Paid Hours","2016Q3","Private sector","Hours","32.6"
"Average Weekly Paid Hours","2016Q3","Public sector","Hours","32.7"
"Average Weekly Paid Hours","2016Q3","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2016Q4","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2016Q4","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2016Q4","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2017Q1","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2017Q1","Public sector","Hours","32.4"
"Average Weekly Paid Hours","2017Q1","All sectors","Hours","32"
"Average Weekly Paid Hours","2017Q2","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2017Q2","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2017Q2","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2017Q3","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2017Q3","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2017Q3","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2017Q4","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2017Q4","Public sector","Hours","32.7"
"Average Weekly Paid Hours","2017Q4","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2018Q1","Private sector","Hours","31.6"
"Average Weekly Paid Hours","2018Q1","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2018Q1","All sectors","Hours","31.8"
"Average Weekly Paid Hours","2018Q2","Private sector","Hours","32.4"
"Average Weekly Paid Hours","2018Q2","Public sector","Hours","32.7"
"Average Weekly Paid Hours","2018Q2","All sectors","Hours","32.5"
"Average Weekly Paid Hours","2018Q3","Private sector","Hours","32.9"
"Average Weekly Paid Hours","2018Q3","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2018Q3","All sectors","Hours","32.8"
"Average Weekly Paid Hours","2018Q4","Private sector","Hours","32.4"
"Average Weekly Paid Hours","2018Q4","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2018Q4","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2019Q1","Private sector","Hours","32"
"Average Weekly Paid Hours","2019Q1","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2019Q1","All sectors","Hours","32.1"
"Average Weekly Paid Hours","2019Q2","Private sector","Hours","32.5"
"Average Weekly Paid Hours","2019Q2","Public sector","Hours","32.8"
"Average Weekly Paid Hours","2019Q2","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2019Q3","Private sector","Hours","32.7"
"Average Weekly Paid Hours","2019Q3","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2019Q3","All sectors","Hours","32.7"
"Average Weekly Paid Hours","2019Q4","Private sector","Hours","32.4"
"Average Weekly Paid Hours","2019Q4","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2019Q4","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2020Q1","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2020Q1","Public sector","Hours","32.3"
"Average Weekly Paid Hours","2020Q1","All sectors","Hours","32.3"
"Average Weekly Paid Hours","2020Q2","Private sector","Hours","32.1"
"Average Weekly Paid Hours","2020Q2","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2020Q2","All sectors","Hours","32.2"
"Average Weekly Paid Hours","2020Q3","Private sector","Hours","32.6"
"Average Weekly Paid Hours","2020Q3","Public sector","Hours","32.8"
"Average Weekly Paid Hours","2020Q3","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2020Q4","Private sector","Hours","33.3"
"Average Weekly Paid Hours","2020Q4","Public sector","Hours","32.7"
"Average Weekly Paid Hours","2020Q4","All sectors","Hours","33.1"
"Average Weekly Paid Hours","2021Q1","Private sector","Hours","31.8"
"Average Weekly Paid Hours","2021Q1","Public sector","Hours","32.7"
"Average Weekly Paid Hours","2021Q1","All sectors","Hours","32.1"
"Average Weekly Paid Hours","2021Q2","Private sector","Hours","32.7"
"Average Weekly Paid Hours","2021Q2","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2021Q2","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2021Q3","Private sector","Hours","33.2"
"Average Weekly Paid Hours","2021Q3","Public sector","Hours","32.9"
"Average Weekly Paid Hours","2021Q3","All sectors","Hours","33.1"
"Average Weekly Paid Hours","2021Q4","Private sector","Hours","33.1"
"Average Weekly Paid Hours","2021Q4","Public sector","Hours","32"
"Average Weekly Paid Hours","2021Q4","All sectors","Hours","32.9"
"Average Weekly Paid Hours","2022Q1","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2022Q1","Public sector","Hours","32.2"
"Average Weekly Paid Hours","2022Q1","All sectors","Hours","32.3"
"Average Weekly Paid Hours","2022Q2","Private sector","Hours","32.8"
"Average Weekly Paid Hours","2022Q2","Public sector","Hours","32"
"Average Weekly Paid Hours","2022Q2","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2022Q3","Private sector","Hours","33.2"
"Average Weekly Paid Hours","2022Q3","Public sector","Hours","32.9"
"Average Weekly Paid Hours","2022Q3","All sectors","Hours","33.1"
"Average Weekly Paid Hours","2022Q4","Private sector","Hours","32.6"
"Average Weekly Paid Hours","2022Q4","Public sector","Hours","31.8"
"Average Weekly Paid Hours","2022Q4","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2023Q1","Private sector","Hours","32.3"
"Average Weekly Paid Hours","2023Q1","Public sector","Hours","32.8"
"Average Weekly Paid Hours","2023Q1","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2023Q2","Private sector","Hours","32.5"
"Average Weekly Paid Hours","2023Q2","Public sector","Hours","31.7"
"Average Weekly Paid Hours","2023Q2","All sectors","Hours","32.4"
"Average Weekly Paid Hours","2023Q3","Private sector","Hours","32.6"
"Average Weekly Paid Hours","2023Q3","Public sector","Hours","32.5"
"Average Weekly Paid Hours","2023Q3","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2023Q4","Private sector","Hours","32.8"
"Average Weekly Paid Hours","2023Q4","Public sector","Hours","31.9"
"Average Weekly Paid Hours","2023Q4","All sectors","Hours","32.6"
"Average Weekly Paid Hours","2024Q1","Private sector","Hours","32.4"
"Average Weekly Paid Hours","2024Q1","Public sector","Hours","32.6"
"Average Weekly Paid Hours","2024Q1","All sectors","Hours","32.5"
"Average Weekly Paid Hours","2024Q2","Private sector","Hours","32.8"
