"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Employment","2019Q1","Public sector","Number","403600"
"Employment","2019Q1","All sectors","Number","1895000"
"Employment","2019Q2","Private sector","Number","1489500"
"Employment","2019Q2","Public sector","Number","407800"
"Employment","2019Q2","All sectors","Number","1897300"
"Employment","2019Q3","Private sector","Number","1521100"
"Employment","2019Q3","Public sector","Number","407500"
"Employment","2019Q3","All sectors","Number","1928600"
"Employment","2019Q4","Private sector","Number","1535500"
"Employment","2019Q4","Public sector","Number","411800"
"Employment","2019Q4","All sectors","Number","1947200"
"Employment","2020Q1","Private sector","Number","1528700"
"Employment","2020Q1","Public sector","Number","412400"
"Employment","2020Q1","All sectors","Number","1941100"
"Employment","2020Q2","Private sector","Number","1431600"
"Employment","2020Q2","Public sector","Number","399000"
"Employment","2020Q2","All sectors","Number","1830500"
"Employment","2020Q3","Private sector","Number","1497700"
"Employment","2020Q3","Public sector","Number","407500"
"Employment","2020Q3","All sectors","Number","1905200"
"Employment","2020Q4","Private sector","Number","1484700"
"Employment","2020Q4","Public sector","Number","414900"
"Employment","2020Q4","All sectors","Number","1899700"
"Employment","2021Q1","Private sector","Number","1440800"
"Employment","2021Q1","Public sector","Number","416500"
"Employment","2021Q1","All sectors","Number","1857300"
"Employment","2021Q2","Private sector","Number","1531700"
"Employment","2021Q2","Public sector","Number","419900"
"Employment","2021Q2","All sectors","Number","1951600"
"Employment","2021Q3","Private sector","Number","1641000"
"Employment","2021Q3","Public sector","Number","418900"
"Employment","2021Q3","All sectors","Number","2059900"
"Employment","2021Q4","Private sector","Number","1666100"
"Employment","2021Q4","Public sector","Number","426000"
"Employment","2021Q4","All sectors","Number","2092100"
"Employment","2022Q1","Private sector","Number","1681000"
"Employment","2022Q1","Public sector","Number","424000"
"Employment","2022Q1","All sectors","Number","2105000"
"Employment","2022Q2","Private sector","Number","1698900"
"Employment","2022Q2","Public sector","Number","429100"
"Employment","2022Q2","All sectors","Number","2128100"
"Employment","2022Q3","Private sector","Number","1699100"
"Employment","2022Q3","Public sector","Number","438900"
"Employment","2022Q3","All sectors","Number","2138000"
"Employment","2022Q4","Private sector","Number","1708200"
"Employment","2022Q4","Public sector","Number","446100"
"Employment","2022Q4","All sectors","Number","2154300"
"Employment","2023Q1","Private sector","Number","1749500"
"Employment","2023Q1","Public sector","Number","435300"
"Employment","2023Q1","All sectors","Number","2184800"
"Employment","2023Q2","Private sector","Number","1781000"
"Employment","2023Q2","Public sector","Number","442500"
"Employment","2023Q2","All sectors","Number","2223500"
"Employment","2023Q3","Private sector","Number","1769500"
"Employment","2023Q3","Public sector","Number","440900"
"Employment","2023Q3","All sectors","Number","2210300"
"Employment","2023Q4","Private sector","Number","1787800"
"Employment","2023Q4","Public sector","Number","445700"
"Employment","2023Q4","All sectors","Number","2233500"
"Employment","2024Q1","Private sector","Number","1783300"
"Employment","2024Q1","Public sector","Number","449000"
"Employment","2024Q1","All sectors","Number","2232300"
"Employment","2024Q2","Private sector","Number","1818800"
"Employment","2024Q2","Public sector","Number","458100"
"Employment","2024Q2","All sectors","Number","2276900"
"Employment","2024Q3","Private sector","Number","1856200"
"Employment","2024Q3","Public sector","Number","452700"
"Employment","2024Q3","All sectors","Number","2308900"
"Employment","2024Q4","Private sector","Number","1830300"
"Employment","2024Q4","Public sector","Number","457500"
"Employment","2024Q4","All sectors","Number","2287800"
"Employment","2025Q1","Private sector","Number","1856200"
"Employment","2025Q1","Public sector","Number","449700"
"Employment","2025Q1","All sectors","Number","2306000"
"Employment","2025Q2","Private sector","Number","1866200"
"Employment","2025Q2","Public sector","Number","458200"
"Employment","2025Q2","All sectors","Number","2324400"
"Employment","2025Q3","Private sector","Number","1856300"
"Employment","2025Q3","Public sector","Number","459100"
"Employment","2025Q3","All sectors","Number","2315400"
"Employment","2025Q4","Private sector","Number","1859300"
"Employment","2025Q4","Public sector","Number","465300"
"Employment","2025Q4","All sectors","Number","2324600"
"Employment","2026Q1","Private sector","Number","1846100"
"Employment","2026Q1","Public sector","Number","462100"
"Employment","2026Q1","All sectors","Number","2308200"
"Average Weekly Earnings","2008Q1","Private sector","Euro","642.7"
"Average Weekly Earnings","2008Q1","Public sector","Euro","904.65"
"Average Weekly Earnings","2008Q1","All sectors","Euro","704.6"
"Average Weekly Earnings","2008Q2","Private sector","Euro","635.19"
"Average Weekly Earnings","2008Q2","Public sector","Euro","930.63"
"Average Weekly Earnings","2008Q2","All sectors","Euro","705.28"
"Average Weekly Earnings","2008Q3","Private sector","Euro","622.68"
"Average Weekly Earnings","2008Q3","Public sector","Euro","929.73"
"Average Weekly Earnings","2008Q3","All sectors","Euro","696.11"
"Average Weekly Earnings","2008Q4","Private sector","Euro","643.51"
"Average Weekly Earnings","2008Q4","Public sector","Euro","956.27"
"Average Weekly Earnings","2008Q4","All sectors","Euro","721.89"
"Average Weekly Earnings","2009Q1","Private sector","Euro","631.82"
"Average Weekly Earnings","2009Q1","Public sector","Euro","934"
"Average Weekly Earnings","2009Q1","All sectors","Euro","709.55"
"Average Weekly Earnings","2009Q2","Private sector","Euro","617.17"
"Average Weekly Earnings","2009Q2","Public sector","Euro","945.95"
"Average Weekly Earnings","2009Q2","All sectors","Euro","700.75"
"Average Weekly Earnings","2009Q3","Private sector","Euro","608.84"
"Average Weekly Earnings","2009Q3","Public sector","Euro","963.8"
"Average Weekly Earnings","2009Q3","All sectors","Euro","698.47"
"Average Weekly Earnings","2009Q4","Private sector","Euro","633.99"
"Average Weekly Earnings","2009Q4","Public sector","Euro","964.94"
"Average Weekly Earnings","2009Q4","All sectors","Euro","721.28"
"Average Weekly Earnings","2010Q1","Private sector","Euro","614.98"
"Average Weekly Earnings","2010Q1","Public sector","Euro","895.91"
"Average Weekly Earnings","2010Q1","All sectors","Euro","689.32"
"Average Weekly Earnings","2010Q2","Private sector","Euro","619.44"
"Average Weekly Earnings","2010Q2","Public sector","Euro","907.46"
"Average Weekly Earnings","2010Q2","All sectors","Euro","696.9"
"Average Weekly Earnings","2010Q3","Private sector","Euro","610.67"
"Average Weekly Earnings","2010Q3","Public sector","Euro","939.36"
"Average Weekly Earnings","2010Q3","All sectors","Euro","700.23"
"Average Weekly Earnings","2010Q4","Private sector","Euro","631.16"
"Average Weekly Earnings","2010Q4","Public sector","Euro","916.45"
"Average Weekly Earnings","2010Q4","All sectors","Euro","704.11"
"Average Weekly Earnings","2011Q1","Private sector","Euro","609.14"
"Average Weekly Earnings","2011Q1","Public sector","Euro","893.6"
"Average Weekly Earnings","2011Q1","All sectors","Euro","684.87"
"Average Weekly Earnings","2011Q2","Private sector","Euro","614.52"
"Average Weekly Earnings","2011Q2","Public sector","Euro","892.96"
"Average Weekly Earnings","2011Q2","All sectors","Euro","687.49"
"Average Weekly Earnings","2011Q3","Private sector","Euro","607.33"
"Average Weekly Earnings","2011Q3","Public sector","Euro","916.64"
"Average Weekly Earnings","2011Q3","All sectors","Euro","686.59"
"Average Weekly Earnings","2011Q4","Private sector","Euro","620.21"
"Average Weekly Earnings","2011Q4","Public sector","Euro","918.42"
"Average Weekly Earnings","2011Q4","All sectors","Euro","696.84"
"Average Weekly Earnings","2012Q1","Private sector","Euro","625.76"
"Average Weekly Earnings","2012Q1","Public sector","Euro","916.65"
"Average Weekly Earnings","2012Q1","All sectors","Euro","698.71"
"Average Weekly Earnings","2012Q2","Private sector","Euro","616.37"
"Average Weekly Earnings","2012Q2","Public sector","Euro","914.91"
"Average Weekly Earnings","2012Q2","All sectors","Euro","691.62"
"Average Weekly Earnings","2012Q3","Private sector","Euro","615.96"
"Average Weekly Earnings","2012Q3","Public sector","Euro","924.24"
"Average Weekly Earnings","2012Q3","All sectors","Euro","692.13"
"Average Weekly Earnings","2012Q4","Private sector","Euro","623.68"
"Average Weekly Earnings","2012Q4","Public sector","Euro","918.1"
"Average Weekly Earnings","2012Q4","All sectors","Euro","691.84"
"Average Weekly Earnings","2013Q1","Private sector","Euro","625.1"
"Average Weekly Earnings","2013Q1","Public sector","Euro","914.02"
"Average Weekly Earnings","2013Q1","All sectors","Euro","693.21"
"Average Weekly Earnings","2013Q2","Private sector","Euro","624.51"
"Average Weekly Earnings","2013Q2","Public sector","Euro","926.59"
"Average Weekly Earnings","2013Q2","All sectors","Euro","695.65"
"Average Weekly Earnings","2013Q3","Private sector","Euro","613.92"
"Average Weekly Earnings","2013Q3","Public sector","Euro","913.66"
"Average Weekly Earnings","2013Q3","All sectors","Euro","682.79"
"Average Weekly Earnings","2013Q4","Private sector","Euro","630.1"
"Average Weekly Earnings","2013Q4","Public sector","Euro","907.23"
"Average Weekly Earnings","2013Q4","All sectors","Euro","694.03"
"Average Weekly Earnings","2014Q1","Private sector","Euro","638.5"
"Average Weekly Earnings","2014Q1","Public sector","Euro","901.91"
"Average Weekly Earnings","2014Q1","All sectors","Euro","699.67"
"Average Weekly Earnings","2014Q2","Private sector","Euro","627.08"
"Average Weekly Earnings","2014Q2","Public sector","Euro","917.19"
"Average Weekly Earnings","2014Q2","All sectors","Euro","694.08"
"Average Weekly Earnings","2014Q3","Private sector","Euro","610.61"
"Average Weekly Earnings","2014Q3","Public sector","Euro","903.6"
"Average Weekly Earnings","2014Q3","All sectors","Euro","676.58"
"Average Weekly Earnings","2014Q4","Private sector","Euro","642.34"
"Average Weekly Earnings","2014Q4","Public sector","Euro","909.11"
"Average Weekly Earnings","2014Q4","All sectors","Euro","702.07"
"Average Weekly Earnings","2015Q1","Private sector","Euro","641.2"
"Average Weekly Earnings","2015Q1","Public sector","Euro","903.96"
"Average Weekly Earnings","2015Q1","All sectors","Euro","701.11"
"Average Weekly Earnings","2015Q2","Private sector","Euro","635.45"
"Average Weekly Earnings","2015Q2","Public sector","Euro","914.6"
"Average Weekly Earnings","2015Q2","All sectors","Euro","699.22"
"Average Weekly Earnings","2015Q3","Private sector","Euro","631.26"
"Average Weekly Earnings","2015Q3","Public sector","Euro","905.12"
"Average Weekly Earnings","2015Q3","All sectors","Euro","692.79"
"Average Weekly Earnings","2015Q4","Private sector","Euro","650.1"
"Average Weekly Earnings","2015Q4","Public sector","Euro","925.78"
"Average Weekly Earnings","2015Q4","All sectors","Euro","711.23"
"Average Weekly Earnings","2016Q1","Private sector","Euro","661.48"
"Average Weekly Earnings","2016Q1","Public sector","Euro","899.97"
"Average Weekly Earnings","2016Q1","All sectors","Euro","714.26"
